Num,No.,Source,Name,Alternate,Part Of,Lat,Long,Marathi,Marathi Alternate,Type,Nearby Village,Dist,State,Type,Height-Sealevel,Height Bottom,Nearby Village,Dist,State
340,106,WS,Purnagad,Purnagad Fort,,73.3149561,16.8080173,,,,,,,,,,,,
482,94,SK,Poornagad,None,,73.315276,16.808023,???????,?????,??????????,???????,?????????,??????????,Seaside,40,10,Poornagad,Ratnagiri,Maharashtra
547,159,SK,Sudhagad,Bhorapgad,,73.321209,18.537397,??????,??????,??????,???????,?????,??????????,Mountain,620,400,Pachhapur,Raigad,Maharashtra
390,2,SK,Ambolgad,None,,73.328538,16.641605,???????,?????,??????????,???????,?????????,??????????,Seaside,0,15,Jaitapur,Ratnagiri,Maharashtra
529,141,SK,Vijaydurg,Gheriya,,73.333547,16.561032,?????????,??????,??????????,?????????,??????????,??????????,Seaside,0,50,Vijaydurg,Sindhudurg,Maharashtra
314,80,WS,Dasgaon,Fort Dasgaon,,73.3558392,18.0908572,,,,,,,,,,,,
2,2,SB,Ghangad,Dhangad,Won,73.359189,18.545941,????,????,??????,??????,????,??????????,Mountain,782,200,Yekole,Pune,Maharashtra
252,18,WS,Devgad,Devgad,Karnataka Bellow Ghat,73.372139,16.387611,?????,?????,??????????,?????,??????????,??????????,Seaside,50,50,Devgad,Sindhudurg,Maharashtra
419,31,SK,Korigad,None,,73.38587,18.619621,??????,?????,??????,??????,????,??????????,Mountain,930,250,Ambavne,Pune,Maharashtra
316,82,WS,Songad,Songad Fort,Constructed,73.387741,18.097321,?????,?????,??????,????????,?????,??????????,Mountain,300,250,Mohopre,Raigad,Maharashtra
518,130,SK,Rajmachi,"Shreevardhan, Manaranjan",,73.396912,18.828479,???????,"?????????, ??????",??????,???????,????,??????????,Mountain,830,180,Rajmachi,Pune,Maharashtra
273,39,WS,Navtedurg,Navtedurg Fort ?????????,,73.4028504,17.412348,,,,,,,,,,,,
414,26,SK,Kurdugad,Vishramgad,,73.418722,18.374235,???????,?????????,??????,????,?????,??????????,Mountain,620,380,Jite,Raigad,Maharashtra
447,59,SK,Dhak,None,,73.424892,18.881762,???,?????,??????,"???????, ?????",?????,??????????,Mountain,890,250,"Udhewadi, Jambhali",Raigad,Maharashtra
315,81,WS,"Mahendragad, Chambhargad","Fort Mahendragad, Chambhargad",,73.4290708,18.0948064,,,,,,,,,,,,
434,46,SK,Chambhargad,Mahendragad,,73.438631,18.099174,????????,??????????,??????,??????????,?????,??????????,Mountain,235,200,Chambharkhind,Raigad,Maharashtra
239,5,WS,Raigad,"Nandadeep, Rairi, Rasvita, Tanas, Islamgad",,73.445148,18.23571,?????,"???????, ?????, ???????, ???, ????????",??????,?????,?????,??????????,Mountain,862,400,Pachad,Raigad,Maharashtra
265,31,WS,Kondhavi,Kondhavi Fort,,73.4543645,17.9209228,,,,,,,,,,,,
342,108,WS,Satavali,Satavali fort (???????? ??????),,73.4564278,16.7584123,,,,,,,,,,,,
516,128,SK,Rajkot-Malvan,None,,73.458054,16.054176,??????-?????,?????,??????????,?????,??????????,??????????,Seaside,0,0,Malvan,Sindhudurg,Maharashtra
545,157,SK,Sindhudurg,"Kurte Bet ,Sindhudurga",Constructed,73.459589,16.042452,??????????,????? ???,???????,?????,??????????,??????????,Island,0,0,Malvan,Sindhudurg,Maharashtra
540,152,SK,Sarjekot-Malvan,None,,73.458168,16.054201,????????-?????,?????,??????????,?????,??????????,??????????,Seaside,0,10,Malvan,Sindhudurg,Maharashtra
452,64,SK,Tung,Kathingad,Constructed,73.462759,18.660013,????,??????,??????,????????? ???? -,????,??????????,Mountain,1070,200,Tungawadi,Pune,Maharashtra
472,84,SK,Padmagad,None,Constructed,73.464578,16.047303,??????,?????,???????,?????,??????????,??????????,Island,0,10,Malvan,Sindhudurg,Maharashtra
377,143,WS,Hari Har Gad Trumbak,Hari Har Gad Trumbak,,73.4721579,19.905223,,,,,,,,,,,,
524,136,SK,Lohagad,Lohgad Fort,Won,73.476759,18.710006,?????,?????,??????,?????????,????,??????????,Mountain,1040,390,Lohagadwadi,Pune,Maharashtra
248,14,WS,Gowalkot,Gowalkot,,73.4879351,17.5465393,,,,,,,,,,,,
260,26,WS,Visapur,Visapur Fort,,73.49054,18.721741,???????,?????,??????,"?????????, ?????",????,??????????,Mountain,1085,400,"Lohagadwadi, Malavali",Pune,Maharashtra
491,103,SK,Bhagwantgad,None,,73.496187,16.183629,???????,?????,??????????,???????,??????????,??????????,Seaside,75,75,Bhagwantgad,Sindhudurg,Maharashtra
492,104,SK,Bharatgad,None,,73.499399,16.171681,?????,?????,??????????,?????,??????????,??????????,Seaside,75,75,Masure,Sindhudurg,Maharashtra
504,116,SK,Mahipatgad,None,Constructed,73.511287,17.80863,???????,?????,??????,??????,?????????,??????????,Mountain,960,400,Dahivli,Ratnagiri,Maharashtra
12,12,SB,Rasalgad,,Won,73.511667,17.764597,??????,?????,??????,"???????, ????????",?????????,??????????,Mountain,535,400,"Zhapwadi, Rasalwadi",Ratnagiri,Maharashtra
470,82,SK,Nivti,Nivati,,73.511881,15.93842,?????,?????,??????????,?????,??????????,??????????,Seaside,30,30,Nivti,Sindhudurg,Maharashtra
549,161,SK,Sumargad,None,,73.512286,17.810904,???????,?????,??????,??????????,?????????,??????????,Mountain,883,450,Beldarwadi,Ratnagiri,Maharashtra
451,63,SK,Tikona,"Vitandagad, Vidgad",Constructed,73.512353,18.631721,??????,???????,??????,????????? ???? -,????,??????????,Mountain,1085,250,Peth Tikona,Pune,Maharashtra
483,95,SK,Peth,Kothaligad,,73.512822,18.992492,???,???????,??????,???????,?????,??????????,Mountain,475,350,Ambivli,Raigad,Maharashtra
5,5,SB,Lingana,,Won,73.51519,18.245781,???????,?????,??????,???????????,?????,??????????,Mountain,650,380,Linganawadi,Raigad,Maharashtra
335,101,WS,Metghar,Metghar Killa,,73.5211286,19.9210524,,,,,,,,,,,,
455,67,SK,Tryambakgad,Shreegad,Won,73.526347,19.915501,??????????,??????,??????,?????????????,?????,??????????,Mountain,1294,350,Tryambakeshwar,Nashik,Maharashtra
426,38,SK,Gorakhgad,None,,73.540236,19.19232,??????,?????,??????,???????,????,??????????,Mountain,651,400,Narivli,Thane,Maharashtra
497,109,SK,Bhorgiri,None,,73.568315,19.049768,???????,?????,??????,???????,????,??????????,Mountain,686,100,Bhorgiri,Pune,Maharashtra
250,16,WS,Bhavanigad,Bhavanigad Fort,,73.5698984,17.2479668,,,,,,,,,,,,
57,57,SB,Kangori,Mangalgad,Constructed,73.578772,18.051524,???????,??????,??????,????????,?????,??????????,Mountain,575,350,Pimpalgaon,Raigad,Maharashtra
241,7,WS,Pratapgad,Bhorpya,Constructed,73.577838,17.936444,????????,???????,??????,????????,??????,??????????,Mountain,1075,150,Kumbhroshi,Satara,Maharashtra
254,20,WS,Vetalgad,Vetalgad,,73.59922392,16.0661265,,,,,,,,,,,,
498,110,SK,Makarandgad,"Madhumakarandgad, Madhugad",,73.600359,17.850201,???????,"??????????, ?????",??????,"???????, ??????, ???????",??????,??????????,Mountain,1230,380,"Chaturbet, Hatlot, Ghonaspur",Satara,Maharashtra
